duplicate_group_id,group_size,suggested_concept_key,suggested_override_concept_key,final_recommended_concept_key,issue_types,confidence,representative_question,member_ids,member_question_previews,human_approved_concept_key,human_notes
exact_af5b97ba9027,2,red_flag,,red_flag,,high,"“Red flag”, en dating, c’est…",b0032b43-ad1b-41d7-82ea-b0857cf00907;8b75c798-d6a1-40aa-907b-11d78ee58dd0,"“Red flag”, en dating, c’est… | “Red flag”, en dating, c’est…",,
exact_af8a86a84724,2,dm_quelquun,,dm_quelquun,,high,"“DM quelqu’un”, ça veut dire…",ac8b2d3d-00f1-4a0f-81a9-bab36efb4132;3a44397e-7b54-452d-a30f-4298171854da,"“DM quelqu’un”, ça veut dire… | “DM quelqu’un”, ça veut dire…",,
exact_afe7dd4fef60,2,un_post_viral,,un_post_viral,,high,"“Un post viral”, c’est…",c69b3b4b-099e-4d9d-82b4-ea197773cca0;dfb790ee-0626-480f-8a0f-1dcde399c648,"“Un post viral”, c’est… | “Un post viral”, c’est…",,
exact_b12e18e857b2,2,rage_quit,,rage_quit,,high,"“Rage quit”, ça veut dire…",01352b8b-2595-4620-bbfc-a43b61263084;747387d2-147a-4dc7-bf21-b9dfcd388671,"“Rage quit”, ça veut dire… | “Rage quit”, ça veut dire…",,
exact_b2d330c0306d,2,level_up,,level_up,,high,"“Level up”, ça veut dire…",0db5c36f-1ada-44d7-b950-de6a6fb8167c;489e1491-bada-4e73-a473-c21e36ea01b4,"“Level up”, ça veut dire… | “Level up”, ça veut dire…",,
exact_b308d1cfe8c7,2,tagger,,tagger,,high,"Que veut dire ""tagger"" quelqu'un ?",98189bfa-180e-4ccc-8111-f12cad2024eb;df7e8f02-c9d8-419f-9549-58a3e189d1b7,"Que veut dire ""tagger"" quelqu'un ? | Que veut dire ""tagger"" quelqu'un ?",,
exact_b455f4f09118,2,un_meme_viral,,un_meme_viral,,high,"“Un meme viral”, c’est…",6eee381c-486f-47fb-a909-d580f6c933cf;992a7911-c090-480a-9e19-b54f1f9afff4,"“Un meme viral”, c’est… | “Un meme viral”, c’est…",,
exact_b550d7959545,2,respawn,,respawn,,high,"“Respawn”, ça veut dire…",ebc9e417-d7fb-49f7-87ae-b2e8dae80151;3c947f73-a35b-4679-a13d-13139d3456be,"“Respawn”, ça veut dire… | “Respawn”, ça veut dire…",,
exact_b5907ead58f9,2,mdr,,mdr,short_concept_key_len,high,"Que veut dire ""mdr"" ?",cdb5cfef-8f7e-437b-9862-c98cb4f1f625;e06cc6a2-4f80-4ca1-878c-06b8d9a9c995,"Que veut dire ""mdr"" ? | Que veut dire ""MDR"" ?",,
exact_b5acad5fff99,2,high_key,,high_key,,high,"“High-key”, ça veut dire…",7ad3a9b0-e237-43b2-91b2-ab6c7ab904f6;e32156d4-bfb9-43d3-b501-f52474a42536,"“High-key”, ça veut dire… | “High-key”, ça veut dire…",,
exact_b5b90c8dc8b0,2,shadowban,,shadowban,,high,"“Shadowban”, ça veut dire…",40b84ad1-9a64-499f-8d23-10d57607873a;013480b1-50e1-4097-88af-a1324b119473,"“Shadowban”, ça veut dire… | “Shadowban”, ça veut dire…",,
exact_b7dfd2d39a96,2,slay,,slay,short_concept_key_len,high,"“Slay”, ça veut dire…",27eb5f80-3659-4f3a-9b61-ec741058fd12;ac8d3271-5968-47a6-9061-52667e792088,"“Slay”, ça veut dire… | “Slay”, ça veut dire…",,
exact_b9cf80248cf3,2,un_algo,,un_algo,,high,"“Un algo”, c’est…",b17adfbc-3a0d-4a11-b4b0-dfbaeb45fd6e;7aaa56a1-2635-452b-ad8e-b693a5a65a8c,"“Un algo”, c’est… | “Un algo”, c’est…",,
exact_ba9daae49850,2,un_commentaire_epingle,,un_commentaire_epingle,,high,"“Un commentaire épinglé”, c’est…",768d1158-0bcf-4861-b8c0-1e9426e7961a;acc39674-80d9-43da-941e-05a66a9754d4,"“Un commentaire épinglé”, c’est… | “Un commentaire épinglé”, c’est…",,
exact_bb8c114b4546,2,drama,,drama,,high,"“Drama”, ça veut dire…",79639004-1b57-4621-8fc3-418ceadd4a06;ac992de7-4ea1-4d02-83aa-0cd3221e4760,"“Drama”, ça veut dire… | “Drama”, ça veut dire…",,
exact_bbe138d0c77d,2,carry_une_partie,,carry_une_partie,,high,"“Carry une partie”, ça veut dire…",e37001d4-44be-4cf3-a2b2-6051d776106a;1d65d9c1-81b9-4956-abd1-fd5365be97a1,"“Carry une partie”, ça veut dire… | “Carry une partie”, ça veut dire…",,
exact_c18fc58fd878,2,un_compte_prive,,un_compte_prive,,high,"“Un compte privé”, c’est…",4f032e2b-cc07-4c48-87c5-7923934c80d2;7ab2fcf6-dfbe-4dd8-8324-9de09858a7b3,"“Un compte privé”, c’est… | “Un compte privé”, c’est…",,
exact_c4d8acfdbbbd,2,dm,,dm,,high,"Que veut dire ""DM"" ?",2773a223-46da-496e-b4c5-2e34a9592062;e7f23b73-71f5-4d26-8603-be9a4d8da448,"Que veut dire ""DM"" ? | Que veut dire ""DM"" ?",,
exact_c80d3c7c55d9,2,poster,,poster,,high,"“Poster”, ça veut dire…",9787229c-3c5f-45b9-b7ca-ef6735004185;d7aeaa74-393e-48a2-aa91-5b0031d8a2a9,"“Poster”, ça veut dire… | “Poster”, ça veut dire…",,
exact_cbc285d7eb04,2,situationship,,situationship,,high,"“Situationship”, ça veut dire…",cf40373f-e968-43e4-b1d8-89923b54e1fd;1139d3b9-c6a4-4738-860f-5507ecc01974,"“Situationship”, ça veut dire… | “Situationship”, ça veut dire…",,
exact_cc9580a59f9d,2,salty,,salty,,high,"“Salty”, ça veut dire…",e2cfc234-68cd-4f35-aa1c-f9eafe637936;2dd54c17-652b-4aa3-a661-394f7a53ebbb,"“Salty”, ça veut dire… | “Salty”, ça veut dire…",,
exact_ce6542db050c,2,un_buzz,,un_buzz,,high,"“Un buzz”, c’est…",29510230-56c2-41b7-81af-900766761267;25ea126e-4d7a-4b4d-bfd9-1b16deaaa48b,"“Un buzz”, c’est… | “Un buzz”, c’est…",,
exact_cec61c0eb007,2,lit,,lit,short_concept_key_len,high,"“Lit”, ça veut dire…",55f6b0f6-e9a7-480b-a640-7b055e6c3243;d419b84c-9d8d-46bd-a564-dd801c056b33,"“Lit”, ça veut dire… | “Lit”, ça veut dire…",,
exact_cf91e658e1cd,2,spawn,,spawn,,high,"“Spawn”, ça veut dire…",2f564d0d-d8b1-4532-95fd-51acbaee7c61;951cf2d5-1b09-4f30-a7c5-f04d81622408,"“Spawn”, ça veut dire… | “Spawn”, ça veut dire…",,
exact_d09e56f9508e,3,quest_ce_que_chatgpt,,quest_ce_que_chatgpt,,medium,Qu'est-ce que ChatGPT ?,be37ba4f-c1f9-4da3-a9a2-a2ed4a1f4e05;af41508d-f0b5-40ec-8cfb-16fbf18a03ed;bacaa6e2-3439-4a41-bb87-30b4f66cc35c,Qu'est-ce que ChatGPT ? | Qu'est-ce que ChatGPT ? | Qu'est-ce que ChatGPT ?,,
exact_d29741bd62c3,2,un_bail,,un_bail,,high,"“Un bail”, dans le langage courant, c’est…",cd55919d-8510-4348-8339-98941c4e378b;03098646-3380-4a99-863e-00d910a7dca9,"“Un bail”, dans le langage courant, c’est… | “Un bail”, dans le langage courant, c’est…",,
exact_db2abcbcc51d,2,un_nerf,,un_nerf,,high,"“Un nerf”, c’est…",5f982b9c-5837-4209-8645-84f1ec6acd77;73edd50a-1501-413e-a0b1-8673f0011859,"“Un nerf”, c’est… | “Un nerf”, c’est…",,
exact_e1f0c6ad903e,2,un_thread,,un_thread,,high,"“Un thread”, c’est…",ceb81392-69d4-47ef-b16b-0250fe5861b2;c24dcd95-2b81-4fa2-822b-6e8223b87bcf,"“Un thread”, c’est… | “Un thread”, c’est…",,
exact_e54767437323,2,une_story,,une_story,,high,"“Une story”, c’est…",68205d1e-12be-459c-a9bd-74c4773962bb;34200136-9647-49c8-8077-4f8203404007,"“Une story”, c’est… | “Une story”, c’est…",,
exact_e57bea09205a,2,muter_quelquun,,muter_quelquun,,high,"“Muter quelqu’un”, ça veut dire…",2723ff7b-b2f0-4658-97ca-312f20a1ed2f;2def225f-476b-4a8a-a0ad-42b813abd65f,"“Muter quelqu’un”, ça veut dire… | “Muter quelqu’un”, ça veut dire…",,
exact_e79a4adcef20,2,un_inside_joke,,un_inside_joke,,high,"“Un inside joke”, c’est…",60f534aa-5adb-431f-9fb3-a6af6047cbdc;851ad5f2-ee93-468d-8a90-6e0037ada6dc,"“Un inside joke”, c’est… | “Un inside joke”, c’est…",,
exact_e8728660a5e9,2,un_viewer,,un_viewer,,high,"“Un viewer”, c’est…",6a4ca434-8fe1-4337-b3b6-109eb4ebcc27;408080ee-eafa-4572-a6a0-88a29436a0dc,"“Un viewer”, c’est… | “Un viewer”, c’est…",,
exact_e8d1d8dec933,3,influenceur,,influenceur,,high,"Qu'est-ce qu'un ""influenceur"" ?",a1a1f9cd-918b-4c19-ab28-2e7e334726b2;169cc3c5-2f6e-4664-b064-1b08eacc5fc4;4d210b1c-2589-45c0-a516-8d72622f7bdf,"Qu'est-ce qu'un ""influenceur"" ? | Qu'est-ce qu'un ""influenceur"" ? | Qu'est-ce qu'un ""influenceur"" ?",,
exact_e8f14af61968,2,seen,,seen,short_concept_key_len,high,"“Seen”, dans une conversation, ça veut dire…",0258f3e1-41b6-4e9c-bedc-077d5fbe7825;5f3d73b8-1970-4e53-8741-462280a20895,"“Seen”, dans une conversation, ça veut dire… | “Seen”, dans une conversation, ça veut dire…",,
exact_e9459f5e7919,2,discord_est_principalement_utilise_pour,,discord_est_principalement_utilise_pour,,medium,Discord est principalement utilisé pour...,12b15800-b7cb-46d2-9518-d4d3edf4be30;83d5c73a-e515-4f5a-bbfd-deb80582edb4,Discord est principalement utilisé pour... | Discord est principalement utilisé pour...,,
exact_ed673c373968,2,block_quelquun,,block_quelquun,,high,"“Block quelqu’un”, ça veut dire…",2abe751b-7db0-4e22-b4bb-92fd2096e48b;518e03e9-cb72-4218-a063-8d26ed19662c,"“Block quelqu’un”, ça veut dire… | “Block quelqu’un”, ça veut dire…",,
exact_f2bf1fd0804d,2,spammer,,spammer,,high,"“Spammer”, ça veut dire…",732bc817-5451-493c-b503-f445226ce4b1;416fa2db-1314-41c3-a23c-d45de10c9dd4,"“Spammer”, ça veut dire… | “Spammer”, ça veut dire…",,
exact_f749eee1ff81,2,un_feed,,un_feed,,high,"“Un feed”, c’est…",ef8318d4-5c48-471b-a838-8bfad7f3b22f;345611b9-1542-4d42-8319-43487bc3a5f2,"“Un feed”, c’est… | “Un feed”, c’est…",,
exact_f79d00be24c8,2,scroller,,scroller,,high,"Que veut dire ""scroller"" ?",bdddac40-1abf-409e-9101-ad597d7cc953;48654145-8749-47eb-8933-597f36bef7f9,"Que veut dire ""scroller"" ? | Que veut dire ""scroller"" ?",,
exact_f86b7845e7d3,3,ia,,ia,,high,"Que veut dire ""IA"" ?",f502806a-1256-45ea-b38c-a69095cb7f51;7ce5b778-c270-4681-9e2d-a5c75a423b0b;cd1de849-8f29-4948-a51c-feadf48b3494,"Que veut dire ""IA"" ? | Que veut dire ""IA"" ? | Que veut dire ""IA"" ?",,
exact_f89beb337d9a,2,appli,,appli,,high,"Qu'est-ce qu'une ""appli"" ?",c2ba0972-a2d9-4180-aa48-8cff1e253a33;86c75ee7-5134-419b-834c-4aa15da63ca6,"Qu'est-ce qu'une ""appli"" ? | Qu'est-ce qu'une ""appli"" ?",,
exact_f9c674326ddb,2,fomo,,fomo,,high,"“FOMO”, ça veut dire…",51ed5c5b-5724-4af8-bd11-ea9347973ee0;5124a407-cd0a-41e8-ab10-7e18622a7fef,"“FOMO”, ça veut dire… | “FOMO”, ça veut dire…",,
